_id,acceleration,body_color,body_status,body_type,brand,engine,fuel_consumption,fuel_type,inside_color,mileage,model,price,url,volume,year
62c022b25ac6166d04f2a72d,12,مشکی,بدون رنگ,passenger_car,runna,4 سیلندر TU5 یورو5 ,6.9,بنزینی,مشکی,0,plus,293000000,https://bama.ir/car/detail-h7gketk-runna-plus-1400,1.6,2021
62c022b25ac6166d04f2a72e,11.6,مشکی,بدون رنگ,hatchback,peugeot,4 سیلندر TU5 ,6.6,بنزینی,مشکی,0,207,420000000,https://bama.ir/car/detail-dvp2ta3b-peugeot-207-manualpanorama-1401,1.6,2022
62c022b45ac6166d04f2a72f,null,نقره ای,یک لکه رنگ,passenger_car,peugeot,None,null,دوگانه سوز,طوسی,240000,405,127000000,https://bama.ir/car/detail-5a8wzjhx-peugeot-405-glxcng-1389,null,2010
62c022b45ac6166d04f2a730,null,قرمز,چند لکه رنگ,passenger_car,proton,None,null,بنزینی,مشکی,250000,gen2,173000000,https://bama.ir/car/detail-5u9ou52d-proton-gen2-2008,null,2008
62c022b45ac6166d04f2a731,10.2,سفید,بدون رنگ,passenger_car,renault,4 سیلندر ,6.8,بنزینی,طوسی,72500,parstondar,380000000,https://bama.ir/car/detail-44vfm1sk-renault-parstondar-1396,1.6,2017
62c022b45ac6166d04f2a732,11.7,سفید,یک درب رنگ,passenger_car,renault,4 سیلندر ,8.3,بنزینی,طوسی,135200,tondar90,298000000,https://bama.ir/car/detail-8fwu6r9k-renault-tondar90-at-1392,1.6,2013
62c022b45ac6166d04f2a733,10.1,سفید,بدون رنگ,passenger_car,besturn,4 سیلندر ,8.6,بنزینی,کرم,84000,b50f,420000000,https://bama.ir/car/detail-cy4gaohr-besturn-b50f-1394,1.8,2015
62c022b45ac6166d04f2a734,12.7,سفید,صافکاری بدون رنگ,pickup,peykan,4 سیلندر OHVG2 دوگانه سوز ,9,دوگانه سوز,طوسی,249000,pickup,77000000,https://bama.ir/car/detail-7yzphdhm-peykan-pickup-cng-1383,1.7,2004
62c022b45ac6166d04f2a735,9.8,خاکستری,بدون رنگ,crossover,renault,4 سیلندر ,8.3,بنزینی,مارون,44000,koleos,2450000000,https://bama.ir/car/detail-9pkysksr-renault-koleos-2018,2.5,2018
62c022b45ac6166d04f2a736,13.4,سفید,بدون رنگ,hatchback,pride,4 سیلندر یورو4 بهینه (M13) ,6.4,بنزینی,طوسی,30000,111,175000000,https://bama.ir/car/detail-88hw7cv-pride-111-se-1398,1.3,2019
62c022b45ac6166d04f2a737,14,نوک مدادی,بدون رنگ,crossover,mvm,4 سیلندر ,8.4,بنزینی,موکا,400,x33s,710000000,https://bama.ir/car/detail-g74ahhzn-mvm-x33s-at5speed-1401,2,2022
